Day,Month,Year,FlightType,Arrival_Departure,Domestic_International,FlightOpsCount
1,6,2010,Scheduled,Arrival,International,3810
1,6,2010,Charter,Arrival,International,10
1,6,2010,Scheduled,Departure,International,3816
1,6,2010,Charter,Departure,Domestic,20
1,6,2010,Scheduled,Departure,Domestic,18695
1,7,2010,Charter,Arrival,International,9
1,7,2010,Charter,Arrival,Domestic,7
1,7,2010,Scheduled,Arrival,Domestic,19398
1,7,2010,Charter,Departure,Domestic,16
1,7,2010,Charter,Departure,International,9
1,7,2010,Scheduled,Departure,International,4160
1,7,2010,Scheduled,Departure,Domestic,19400
1,7,2010,Scheduled,Arrival,International,4185
1,8,2010,Charter,Arrival,International,11
1,8,2010,Charter,Arrival,Domestic,10
1,8,2010,Scheduled,Arrival,International,4002
1,8,2010,Scheduled,Departure,International,3999
1,8,2010,Charter,Departure,International,9
1,8,2010,Scheduled,Arrival,Domestic,19319
1,8,2010,Scheduled,Departure,Domestic,19321
1,8,2010,Charter,Departure,Domestic,7
1,9,2010,Scheduled,Departure,Domestic,17634
1,9,2010,Charter,Arrival,Domestic,10
1,9,2010,Scheduled,Arrival,International,3330
1,9,2010,Charter,Arrival,International,9
1,9,2010,Charter,Departure,International,6
1,9,2010,Scheduled,Departure,International,3326
1,9,2010,Scheduled,Arrival,Domestic,17637
1,9,2010,Charter,Departure,Domestic,11
1,10,2010,Scheduled,Arrival,Domestic,18165
1,10,2010,Scheduled,Departure,Domestic,18151
1,10,2010,Scheduled,Departure,International,3485
1,10,2010,Charter,Departure,International,2
1,10,2010,Charter,Arrival,International,2
1,10,2010,Charter,Departure,Domestic,24
1,10,2010,Scheduled,Arrival,International,3491
1,10,2010,Charter,Arrival,Domestic,25
1,11,2010,Scheduled,Departure,Domestic,17286
1,11,2010,Charter,Departure,Domestic,39
1,11,2010,Charter,Arrival,Domestic,38
1,11,2010,Scheduled,Arrival,Domestic,17208
1,11,2010,Charter,Arrival,International,3
1,11,2010,Scheduled,Arrival,International,3416
1,11,2010,Charter,Departure,International,1
1,11,2010,Scheduled,Departure,International,3408
1,12,2010,Charter,Departure,International,1
1,12,2010,Charter,Departure,Domestic,35
1,12,2010,Scheduled,Departure,Domestic,17888
1,12,2010,Charter,Arrival,International,3
1,12,2010,Scheduled,Arrival,International,3704
1,12,2010,Scheduled,Departure,International,3705
1,12,2010,Scheduled,Arrival,Domestic,17946
1,12,2010,Charter,Arrival,Domestic,60
1,1,2011,Scheduled,Departure,Domestic,17601
1,1,2011,Scheduled,Arrival,International,3777
1,1,2011,Charter,Departure,International,1
1,1,2011,Charter,Arrival,Domestic,41
1,1,2011,Charter,Arrival,International,2
1,1,2011,Scheduled,Departure,International,3779
1,1,2011,Scheduled,Arrival,Domestic,17612
1,1,2011,Charter,Departure,Domestic,67
1,2,2011,Scheduled,Arrival,International,3387
1,2,2011,Charter,Arrival,Domestic,16
1,2,2011,Scheduled,Departure,Domestic,15984
1,2,2011,Charter,Departure,International,7
1,2,2011,Scheduled,Departure,International,3384
1,2,2011,Charter,Arrival,International,10
1,2,2011,Charter,Departure,Domestic,16
1,2,2011,Scheduled,Arrival,Domestic,15973
1,3,2011,Charter,Departure,Domestic,24
1,3,2011,Scheduled,Departure,International,3840
1,3,2011,Charter,Arrival,International,6
1,3,2011,Scheduled,Departure,Domestic,18599
1,3,2011,Charter,Arrival,Domestic,23
1,3,2011,Scheduled,Arrival,Domestic,18615
1,3,2011,Scheduled,Arrival,International,3833
1,4,2011,Scheduled,Arrival,Domestic,18516
1,4,2011,Charter,Departure,Domestic,19
1,4,2011,Charter,Arrival,Domestic,21
1,4,2011,Scheduled,Arrival,International,3967
1,4,2011,Charter,Arrival,International,4
1,4,2011,Scheduled,Departure,Domestic,18681
1,4,2011,Charter,Departure,International,2
1,4,2011,Scheduled,Departure,International,3793
